y4_hhid,children_education___output___tanzania_2014,crop_sales___output___tanzania_2014,expenditure___output___tanzania_2014,has_medical___output___tanzania_2014,no_food_def___output___tanzania_2014,HH_shock___tanzania_2014,receive_assistance___policy___tanzania_2014,amt_assist_rec___policy___tanzania_2014,crop_diverse___policy___tanzania_2014,has_borrowed___policy___tanzania_2014,illness_hh_member___policy___tanzania_2014,has_hire_work___ethiopia___tanzania_2014,number_oxen_own___policy___tanzania_2014,number_of_plough___policy___tanzania_2014,owns_certificate___policy___tanzania_2014,post_damage___policy___tanzania_2014,quant_che_fert___policy___tanzania_2014,quant_pest___policy___tanzania_2014,soil_long___policy___tanzania_2014,soil_short___policy___tanzania_2014,uses_cred___policy___tanzania_2014,uses_irr___policy___tanzania_2014,atten_school___policy___tanzania_2014,dist_road___policy___tanzania_2014,dist_market___policy___tanzania_2014,has_work_fem___policy___tanzania_2014,household_h_age___tanzania_2014,HH_divorce___tanzania_2014,HH_male___tanzania_2014,HH_head_mono___tanzania_2014,HH_head_poly___tanzania_2014,HH_seperated___tanzania_2014,HH_widow___tanzania_2014,HH_nevermar___tanzania_2014,household_size___tanzania_2014,land_surface___tanzania_2014,literacy___tanzania_2014,has_bank_account___policy___tanzania_2014,has_savings___policy___tanzania_2014
1154,,,1761057.5,0,0,1,0,,,,1,,,,,,,,,,,,1,,,,65,0,1,1,0,0,0,0,1,0,0,1,0
1155,,,4583853.5,0,0,1,0,,,,1,,,,,,,,,,,,0.6666667,,,,32,0,1,0,0,0,0,0,3,0,0,1,0
1156,,,1650006.25,1,1,1,0,,,,1,,,,,,,,,,,,1,,,1,22,0,0,0,0,0,0,1,1,0,0,1,1
1158,0.25,,5646657,0,1,1,0,,,,0,,,,,,,,,,,,0.75,,,0,39,0,1,0,0,0,0,0,4,0,0,0,1
1159,,,4139336.25,0,1,1,0,,,,0,,,,,,,,,,,,1,,,1,40,0,0,0,1,0,0,0,1,0,0,1,0
1162,0.2,,8499278,0,1,1,0,,,,1,,,,,,,,,,,,0.8,,,1,43,0,1,1,0,0,0,0,5,0,0,0,1
1171,,,3083135.75,0,0,1,0,,,1,1,,,,,,,,,,1,,1,,,1,52,0,0,0,0,0,1,0,3,0,0,0,1
1172,0.25,,8003699,0,1,1,0,,,,1,,,2,,,,,,,,,1,0,25,1,57,0,1,1,0,0,0,0,4,0,0,1,1
1173,0.5,,3625479.75,0.5,1,1,0,,,,2,,,,,,,,,,,,1,,,1,36,0,0,0,0,1,0,0,2,0,0,0,1
1174,,,3395708.75,0,1,1,0,,,,1,,,,,,,,,,,,0.6666667,,,,40,0,1,1,0,0,0,0,3,0,0,0,1
1175,,,4166394,0,1,1,0,,,,0,,,,,,,,,,,,1,,,1,31,0,0,0,0,0,0,1,1,0,0,1,0
1176,,,7045515,0,1,0,0,,,,1,,,,,,,,,,,,1,,,1,31,0,1,0,0,0,0,0,2,0,0,1,1
1177,,,4125413,0,1,1,0,,,1,1,,,,,,,,,,1,,0.8,,,1,49,0,0,0,0,1,0,0,5,0,0,1,1
1179,,,18680800,0,1,1,0,,,1,1,,,,,,,,,,1,,1,,,1,60,0,0,0,0,0,1,0,6,0,0,1,1
1191,,,3959441.75,0,1,1,0,,,,0,,,,,,,,,,,,1,,,,23,0,1,1,0,0,0,0,1,0,0,1,1
1192,,,7046066,0.25,1,1,0,,,,2,,,,,,,,,,,,0.75,,,1,42,0,1,1,0,0,0,0,4,0,0,1,1
1193,0.4,,6569327.5,0,1,1,0,,,,0,,,,,,,,,,,,1,,,0,45,0,1,1,0,0,0,0,5,0,0,1,1
1194,0.1666667,,7740887,0,1,1,0,,,,0,,,,,,,,,,,,0.6666667,,,1,38,0,1,0,0,0,0,1,6,0,0,0,0
1195,,,6325119.5,0,1,1,0,,,,0,,,,,,,,,,,,1,,,1,42,0,0,0,0,0,1,0,4,0,0,0,1
1196,0.1428571,,14161148,0,1,1,0,,,1,1,,17,,,,,,,,1,,1,,,1,53,0,1,1,0,0,0,0,7,0,0,1,0
1198,,,4659036.5,0,1,1,0,,,1,5,,,,,,,,,,1,,0.6666667,,,1,54,0,1,1,0,0,0,0,6,0,0,1,1
1201,0.2222222,,12277238,0.1111111,1,0,0,,,,4,,,,,,,,,,,,0.7777778,,,0,62,0,1,1,0,0,0,0,9,0,0,1,1
1209,0.2,,13638098,0.2,1,0,0,,,,3,0,,2,1,0,0,0,2,,,,0.4,0,1,1,35,0,1,0,0,0,0,0,5,0.08,0,1,0
1210,0.3333333,,7131132.5,0,1,0,0,,,1,1,,,,,,,,,,1,,0.8333333,,,1,31,0,1,0,0,0,0,0,6,0,0,1,1
1211,,,1912932.25,0,0,0,0,,,1,1,,,,,,,,,,1,,1,,,1,30,0,0,0,0,0,0,1,1,0,0,0,0
1212,0.2,,3373640.5,0,0,1,0,,,,3,,,,,,,,,,,,0.6,,,1,32,0,0,0,0,1,0,0,5,0,0,0,0
1213,0.4,,11174839,0.2,1,1,0,,,,2,,30,,,,,,,,,,1,,,1,46,0,1,1,0,0,0,0,5,0,0,0,1
1214,,,4624672.5,0,1,0,0,,,,1,,,,,,,,,,,,0.8,,,,37,0,1,1,0,0,0,0,5,0,0,0,
1215,,,5225499,0,1,1,0,,,1,1,,,,,,,,,,1,,1,,,1,43,0,1,1,0,0,0,0,2,0,0,1,1
1217,,,3865945.25,0,1,1,0,,,,1,,,2,0,,,,,,,,1,1,2,0,46,0,1,0,0,0,0,0,4,0.04,0,1,1
1229,0.2,,14732239,0,1,1,0,,,,3,,,,,,,,,,,,0.8,,,1,30,0,1,1,0,0,0,0,5,0,0,1,1
1230,,,1775080.25,0,0,1,0,,0,,0,0,28,2,0,0,0,0,2,,,,1,0,1,1,56,0,0,0,0,1,0,0,1,0.02,0,0,0
1231,,,3833437.75,0,1,1,0,,,,2,0,,2,0,0,0,0,1,,,,1,0,3,,34,0,1,1,0,0,0,0,2,0,0,0,1
1232,,,32192194,0,1,0,0,,,,3,,,,,,,,,,,,0.7777778,,,1,53,0,1,1,0,0,0,0,9,0,0,1,0
1233,0.125,,32559556,0,1,1,0,,,,2,,955,2,1,0,,,,,,,1,7,14.25,1,53,0,1,1,0,0,0,0,8,0,0,1,0
1235,0.2,,4954972,0,1,0,0,,,,1,,,,,,,,,,,,0.8,,,,42,0,1,0,0,0,0,0,5,0,0,0,0
1236,,,9933324,0,1,1,0,,,,1,,,,,,,,,,,,0.4,,,1,30,0,1,1,0,0,0,0,5,0,0,0,1
1239,,,2636323.5,0,1,0,0,,,,0,,,,,,,,,,,,0.5,,,1,31,0,0,0,0,1,0,0,4,0,0,0,0
1247,0.5,,6122728,0,1,0,0,,,,0,,,,,,,,,,,,1,,,1,35,0,1,1,0,0,0,0,4,0,0,1,0
1248,,,3979573.25,0,1,1,0,,,,2,,,,,,,,,,,,1,,,,51,0,1,1,0,0,0,0,2,0,0,1,0
1249,0.3333333,,5588034.5,0,1,1,0,,,,1,,,,,,,,,,,,1,,,0,42,0,1,1,0,0,0,0,3,0,0,0,0
1250,0.3333333,,5243883,0,1,1,0,,,,1,,,,,,,,,,,,1,,,0,35,0,1,0,0,0,0,0,3,0,0,0,1
1252,,,3270092.25,0,0,0,0,,,,1,,,,,,,,,,,,0.8333333,,,,44,0,1,1,0,0,0,0,6,0,0,0,0
1253,0.3333333,,3290489.75,0,1,1,0,,,,1,,,,,,,,,,,,1,,,1,32,0,0,0,0,1,0,0,3,0,0,0,1
1254,0.3333333,,13450003,0,1,0,0,,,,3,,,,,,,,,,,,0.8333333,,,1,44,0,1,1,0,0,0,0,6,0,0,1,0
1257,0.25,,7164284,0,1,0,0,,,,2,,,,,,,,,,,,0.75,,,,47,0,1,1,0,0,0,0,4,0,0,0,1
1266,0.1666667,,7927421,0,0,1,0,,,,1,,22,,,,,,,,,,0.8333333,,,1,36,0,1,1,0,0,0,0,6,0,0,1,1
1267,0.3333333,,3130136.5,0,1,1,0,,,,1,,,,,,,,,,,,1,,,,39,0,1,1,0,0,0,0,3,0,0,1,1
1268,,,3488516.75,0,1,1,0,,,,2,,,,,,,,,,,,1,,,1,28,0,1,0,0,0,0,0,2,0,0,1,0
1269,0.25,,5300203,0,1,1,0,,,,0,,,,,,,,,,,,0.75,,,0,31,0,1,0,0,0,0,0,4,0,0,1,0
1270,,,6594523.5,0,1,0,0,,,,3,,,,,,,,,,,,0.6666667,,,,29,0,1,0,0,0,0,0,3,0,0,1,1
1271,,,4590536.5,0,1,0,0,,,,0,,,,,,,,,,,,0.6666667,,,,29,0,1,0,0,0,0,0,3,0,0,1,1
1272,0.5,,7363467.5,0,0,1,0,,,,2,,,,,,,,,,,,1,,,1,43,0,1,0,0,0,0,0,6,0,0,1,1
1273,0.25,,8178122,0,0,0,0,,,,2,,,,,,,,,,,,0.875,,,0,40,0,1,1,0,0,0,0,8,0,0,0,0
1285,0.6666667,,7696952.5,0,1,1,0,,,,0,,,,,,,,,,,,1,,,0,32,0,1,0,0,0,0,1,3,0,0,1,1
1286,,,2757543.5,0,1,1,0,,,1,0,,,,,,,,,,1,,1,,,1,22,0,0,0,0,0,0,1,1,0,0,0,1
1287,,5,2445780.5,0,1,1,0,,0,,1,,,2,,,0,0,2,,,,0.75,0,3,1,42,0,1,0,0,0,0,0,4,0.02,0,0,1
1289,0.1666667,,8285434,0,1,0,0,,,1,3,,35,,,,,,,,1,,1,,,1,45,0,1,1,0,0,0,0,6,0,0,1,0
1290,,,5961323,0.25,1,1,0,,,,3,,,,,,,,,,,,0.75,,,0,46,0,1,1,0,0,0,0,4,0,0,1,1
1291,0.2,,11694454,0,1,1,0,,,,1,,,,,,,,,,,,0.8,,,1,45,0,1,1,0,0,0,0,5,0,0,1,1
1292,,,9566662,0,1,0,0,,,,0,,,,,,,,,,,,1,,,,29,0,1,0,0,0,0,1,2,0,0,1,1
1294,,,3377624.5,0,1,1,0,,,,1,,,,,,,,,,,,1,,,,26,0,1,0,0,0,0,1,1,0,0,0,1
1304,,,2635002,0,0,1,0,,,,1,,,,,,,,,,,,0.5,,,1,30,0,0,0,0,0,1,0,2,0,0,0,1
1305,,11000,7823389,0,1,1,0,,0,,2,1,,2,,,100,0,2,,,,1,0,15,1,60,0,1,1,0,0,0,0,2,0,0,1,1
1306,0.5,,3099352,0,0,1,0,,,,1,,,,,,,,,,,,1,,,1,41,0,0,0,0,1,0,0,2,0,0,0,1
1307,,,2540647,0,0,1,0,,2,,0,0,,2,,,0,0,1,,,,0.6666667,1,2,1,63,0,1,0,0,0,0,0,3,0,0,0,
1308,0.4,,16243178,0,1,1,0,,3,,4,0,200,2,0,,0,40,1,,,,1,0,2,1,44,0,1,1,0,0,0,0,5,0.11,0,1,1
1309,0.1428571,,6416440,0,1,1,0,,,,0,,,,,,,,,,,,0.7142857,,,0,31,0,1,0,0,0,0,0,7,0,0,0,1
1312,,,2760007,0,1,0,0,,,,1,,,,,,,,,,,,1,,,1,48,0,0,0,0,1,0,0,2,0,0,0,1
1314,,,5114447.5,0,1,0,0,,,,1,,,,,,,,,,,,0.6666667,,,,35,0,1,0,0,0,0,0,3,0,0,0,1
1323,0.2,,6155898.5,0,1,1,0,,,,1,,37,,,,,,,,,,1,,,1,34,0,1,1,0,0,0,0,5,0,0,1,0
1325,0.4,,13711922,0,1,1,0,,,,2,,44,,,,,,,,,,1,,,1,41,0,1,1,0,0,0,0,5,0,0,1,1
1327,,,3201004.75,0,1,0,0,,,,0,,,,,,,,,,,,0.3333333,,,,28,0,1,0,0,0,0,0,3,0,0,0,0
1328,,,1753591.375,0,1,0,0,,,,0,,,,,,,,,,,,1,,,1,33,0,0,0,0,0,1,0,1,0,0,0,1
1329,0.1428571,,14634318,0,1,1,0,,,,0,,0,,,,,,,,,,1,,,1,53,0,1,1,0,0,0,0,7,0,0,1,1
1331,0.5,,10541743,0,1,1,0,,1,,1,1,,2,0,,0,0,2,,,,1,0,1,1,51,0,0,0,0,1,0,0,2,0.1,0,1,1
1332,,,5977259,0,0,1,0,,,,0,,1,,,,,,,,,,1,,,1,34,0,1,0,0,0,0,1,2,0,0,0,0
1333,0.2,,6823180,0,1,1,0,,2,,0,0,35,2,1,0,3,0,2,,,,0.8,0,5,1,43,0,1,1,0,0,0,0,5,0.05,0,0,1
1342,0.2,,6934990.5,0,1,1,0,,,,4,,30,,,,,,,,,,0.8,,,1,41,0,1,1,0,0,0,0,5,0,0,0,0
1344,,,6505457.5,0,1,1,0,,,,0,,,,,,,,,,,,1,,,1,45,0,0,0,0,0,1,0,3,0,0,1,0
1345,0.2,,8909295,0,1,1,0,,,,1,,,,,,,,,,,,0.6,,,1,39,0,0,0,0,1,0,0,5,0,0,0,1
1346,,,4260993,0,1,1,0,,,,1,,600,,,,,,,,,,0.6666667,,,1,33,0,1,1,0,0,0,0,3,0,0,0,0
1347,,,5760586.5,0,1,0,0,,,1,0,,,,,,,,,,1,,1,,,0,22,0,1,0,0,0,0,1,1,0,0,1,1
1348,1,,4567859.5,0,1,1,0,,,2,0,,13,,,,,,,,1,,1,,,,25,0,1,0,0,0,0,1,1,0,0,1,1
1349,1,,2425359.75,0,0,0,0,,,,1,,,,,,,,,,,,1,,,1,22,0,0,0,0,0,0,1,1,0,0,1,1
1350,0.5,,6449747.5,0,1,1,0,,,,3,,,,,,,,,,,,0.8333333,,,0,40,0,1,1,0,0,0,0,6,0,0,1,1
1361,,,12842207,0.3333333,1,0,0,,,1,2,,,,,,,,,,1,,0.6666667,,,1,39,0,0,0,0,0,0,1,3,0,0,1,0
